"stock","OM","MP","optimised","period","fitness","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","file","id","OM_group"
"cod.27.47d20","rec_higher","ICES_SAM","default","11-20",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"output/cod.27.47d20/rec_higher/1000_20/ICES_SAM/mp.rds",22,"Rec"
"her.27.3a47d","rec_higher","ICES_SAM","default","11-20",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"output/her.27.3a47d/rec_higher/1000_20/ICES_SAM/mp.rds",23,"Rec"
"cod.27.47d20","M_dd","rfb","default","11-20",NA,1,2,3,1,1,1,1,2,0.95,1.2,0.7,"output/cod.27.47d20/M_dd/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds",4,"M"
"cod.27.47d20","M_dd","rfb","multiplier","11-20",NA,1,2,3,1,1,1,1,2,1.73,1.2,0.7,"output/cod.27.47d20/M_dd/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.73_1.2_0.7.rds",5,"M"
"cod.27.47d20","M_dd","rfb","all","11-20",NA,0,4,3,1,0.1,1.3,0.4,4,1.06,1.2,0.7,"output/cod.27.47d20/M_dd/1000_20/rfb/mp_0_4_3_1_0.1_1.3_0.4_4_1.06_1.2_0.7.rds",6,"M"
"cod.27.47d20","M_dd","hr","default","11-20",NA,NA,NA,NA,NA,NA,NA,1,1,1,1.2,0.7,"output/cod.27.47d20/M_dd/1000_20/hr/mp_1_1_1_1.4_1_1_1.2_0.7.rds",15,"M"
"cod.27.47d20","M_dd","hr","multiplier","11-20",NA,NA,NA,NA,NA,NA,NA,1,1,0.83,1.2,0.7,"output/cod.27.47d20/M_dd/1000_20/hr/mp_1_1_1_1.4_1_0.83_1.2_0.7.rds",16,"M"
"cod.27.47d20","M_dd","hr","all","11-20",NA,NA,NA,NA,NA,NA,NA,1,4,1.67,1.2,0.7,"output/cod.27.47d20/M_dd/1000_20/hr/mp_0_1_1_1_4_1.67_1.2_0.7.rds",17,"M"
"cod.27.47d20","M_dd","ICES_SAM","default","11-20",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"output/cod.27.47d20/M_dd/1000_20/ICES_SAM/mp.rds",22,"M"
"cod.27.47d20","M_no_migration","rfb","default","11-20",NA,1,2,3,1,1,1,1,2,0.95,1.2,0.7,"output/cod.27.47d20/M_no_migration/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds",4,"M"
"cod.27.47d20","M_no_migration","rfb","multiplier","11-20",NA,1,2,3,1,1,1,1,2,1.73,1.2,0.7,"output/cod.27.47d20/M_no_migration/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.73_1.2_0.7.rds",5,"M"
"cod.27.47d20","M_no_migration","rfb","all","11-20",NA,0,4,3,1,0.1,1.3,0.4,4,1.06,1.2,0.7,"output/cod.27.47d20/M_no_migration/1000_20/rfb/mp_0_4_3_1_0.1_1.3_0.4_4_1.06_1.2_0.7.rds",6,"M"
"cod.27.47d20","M_no_migration","hr","default","11-20",NA,NA,NA,NA,NA,NA,NA,1,1,1,1.2,0.7,"output/cod.27.47d20/M_no_migration/1000_20/hr/mp_1_1_1_1.4_1_1_1.2_0.7.rds",15,"M"
"cod.27.47d20","M_no_migration","hr","multiplier","11-20",NA,NA,NA,NA,NA,NA,NA,1,1,0.83,1.2,0.7,"output/cod.27.47d20/M_no_migration/1000_20/hr/mp_1_1_1_1.4_1_0.83_1.2_0.7.rds",16,"M"
"cod.27.47d20","M_no_migration","hr","all","11-20",NA,NA,NA,NA,NA,NA,NA,1,4,1.67,1.2,0.7,"output/cod.27.47d20/M_no_migration/1000_20/hr/mp_0_1_1_1_4_1.67_1.2_0.7.rds",17,"M"
"cod.27.47d20","M_no_migration","ICES_SAM","default","11-20",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"output/cod.27.47d20/M_no_migration/1000_20/ICES_SAM/mp.rds",22,"M"
