"stock","OM","B0","R0","FMSY","MSY","BMSY","RMSY","Blim"
"ple.27.7e","baseline",38340.1086271092,6887.46080375253,0.166612606058311,1703.38294027154,10004.7167919778,6569.79552381136,2118.89597332876
"ple.27.7e","M_low",83293.6241014607,5797.32705922758,0.103949622633656,2339.26269349422,21062.5668137758,5700.3839641555,1572.19284126026
"ple.27.7e","M_high",24727.2219175434,8344.0222714504,0.214324135169568,1419.3340274094,6767.59950658698,7560.99358760195,3081.99875860144
"ple.27.7e","M_Gislason",26914.9987833619,13919.2329329355,0.181562014986273,1362.92103408716,7565.49400571806,12105.9199433024,5228.83184923948
"ple.27.7e","no_discards_not_hidden",29141.3116118659,5525.63256414791,0.177633485825967,1513.91423851867,6833.76526624397,5139.27778654174,2198.79959018622
"ple.27.7e","rec_no_AC",38756.2738001509,6847.03117615939,0.169197528016185,1752.3009773709,10149.8021471573,6535.25672964318,2118.88840589759
"cod.27.47d20","baseline",415979.122017374,249285.188202999,0.430435596435663,55391.4827911175,90187.0694578756,247223.835175218,62733.889877993
"cod.27.47d20","rec_higher",650837.259954585,340639.500387162,0.480707573558284,86413.4192625881,122304.923068941,338697.515349325,70629.2789023196
"cod.27.47d20","M_dd",254703.748471633,249285.188202999,0.438008336257513,53401.2017506605,85125.2594331716,242637.890190974,62733.889877993
"cod.27.47d20","M_no_migration",908878.905825071,241922.893578264,0.455910679856755,63509.6210006255,141781.006869815,241922.893578264,74640.4032916757
"her.27.3a47d","baseline",3621773.64670232,23908255.1448677,0.367014124166472,403512.191516476,1052763.11186577,23273643.784302,874198
"her.27.3a47d","rec_higher",4999762.25947488,32076803.4944205,0.394305889067289,555243.691440093,1338623.23064941,31107313.4975406,874198
